City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
biak,0,ID,1574006797,69,-0.91,122.88,83.17,3.89
bundaberg,90,AU,1574006798,78,-24.87,152.35,77,11.41
caramay,51,PH,1574006798,88,10.18,119.24,75.42,4.72
ilula,20,TZ,1574006798,58,-7.68,36.04,82.4,17.22
tual,100,ID,1574006798,75,-5.67,132.75,80.65,9.8
kalakamati,40,BW,1574006798,13,-20.59,27.31,100.4,3.36
jijiga,100,ET,1574006799,46,9.35,42.8,69.37,15.48
podor,100,MR,1574006799,23,16.65,-14.96,96.8,2.24
manokwari,100,ID,1574006799,83,-0.87,134.08,73.49,5.46
belaya gora,100,RU,1574006799,98,68.54,146.19,-4.94,2.21
haikou,20,CN,1574006799,94,20.04,110.34,71.6,2.24
tyrma,100,RU,1574006800,92,50.04,132.17,4.95,2.53
tucupita,93,VE,1574006800,66,9.06,-62.05,84.74,2.35
kitimat,90,CA,1574006800,93,54.02,-128.69,51.8,29.97
zabid,94,YE,1574006800,60,14.2,44.5,63,3.76
ouro preto do oeste,95,BR,1574006800,57,-10.75,-62.22,89.11,2.33
grand gaube,75,MU,1574006801,88,-20.01,57.66,77,12.75
vallenar,0,CL,1574006801,49,-28.58,-70.76,72.01,10.85
choix,100,MX,1574006801,70,26.71,-108.33,71.44,2.59
barguzin,100,RU,1574006801,94,53.62,109.63,-2.4,3.09
mahibadhoo,5,MV,1574006801,79,3.78,72.97,83.08,13.51
rawatsar,92,IN,1574006802,37,29.26,74.4,72.75,6.38
sokoni,100,CD,1574006802,86,-12.89,28.78,70.23,6.11
botevgrad,90,BG,1574006802,81,42.91,23.79,53.6,9.17
cap malheureux,75,MU,1574006802,88,-19.98,57.61,77,12.75
aranos,84,NA,1574006802,14,-24.14,19.11,91.06,7.4
saqqez,0,IR,1574006802,52,36.24,46.27,30.69,6.33
neiafu,20,TO,1574006803,100,-18.65,-173.98,69.8,5.39
saint john,20,CA,1574006803,58,45.28,-66.06,28,6.93
sabha,0,LY,1574006803,13,27.03,14.43,78.48,12.91
kayerkan,100,RU,1574006803,75,69.35,87.76,-13,11.18
pinawa,100,CA,1574006803,91,50.15,-95.88,22.42,8.46
buchanan,100,LR,1574006804,74,5.88,-10.05,83.95,8.39
sarandi,0,BR,1574006804,34,-27.94,-52.92,78.8,11.41
peace river,20,CA,1574006804,100,56.23,-117.29,36,5.82
grindavik,40,IS,1574006804,86,63.84,-22.43,33.8,5.82
woodward,1,US,1574006520,53,36.43,-99.39,55.99,9.17
saint-louis,100,SN,1574006805,24,16.03,-16.5,95,4.7
muros,40,ES,1574006805,81,42.77,-9.06,61,8.05
las margaritas,86,MX,1574006805,88,16.32,-91.98,57.31,2.66
pusad,0,IN,1574006806,59,19.91,77.57,72,1.39
matamoros,1,US,1574006806,57,25.87,-97.51,75.2,10.29
mount isa,15,AU,1574006806,10,-20.73,139.49,80.6,10.29
vieques,40,PR,1574006806,70,18.43,-65.83,87.01,8.05
panama city,1,US,1574006658,76,30.16,-85.65,60.01,8.05
bayan,0,CN,1574006807,51,36.1,102.26,21.43,4.14
anzio,40,IT,1574006808,87,41.45,12.63,59,4.7
belyy yar,100,RU,1574006808,67,53.6,91.39,21.2,13.42
jinka,100,ET,1574006808,82,5.79,36.57,70.36,3.44
sibu,75,MY,1574006808,100,2.29,111.83,75.2,3.36
gimli,68,CA,1574006808,90,50.63,-96.99,26.01,7
tilichiki,83,RU,1574006809,82,60.47,166.1,4.87,12.53
virginia beach,90,US,1574006789,93,36.85,-75.98,50,13.87
giyon,85,ET,1574006809,54,8.53,37.98,67.08,4.05
nongstoin,66,IN,1574006809,95,25.52,91.27,53.8,1.12
lesnoy,100,RU,1574006809,88,59.78,52.13,24.28,4.21
billere,75,FR,1574006809,93,43.3,-0.4,52,2.24
vila franca do campo,20,PT,1574006810,68,37.72,-25.43,66.2,12.75
asyut,100,EG,1574006762,47,27.18,31.19,78.8,10.29
santander,75,PH,1574006810,88,9.42,123.33,78.8,6.87
santa cruz,30,BR,1574006810,39,-6.22,-36.02,90.93,10.2
mineiros,32,BR,1574006810,46,-17.57,-52.55,84.38,4.61
chuy,0,UY,1574006811,55,-33.69,-53.46,80.08,3.87
mirnyy,95,RU,1574006811,94,56.57,36.46,42.19,5.73
laguna,75,BZ,1574006811,88,16.17,-88.94,75.2,3.62
rincon,40,PA,1574006811,78,8.46,-82.28,82.4,3.36
puerto escondido,5,MX,1574006811,69,15.86,-97.07,78.8,8.05
raudeberg,49,NO,1574006812,80,61.99,5.14,39.2,9.17
sehithwa,53,BW,1574006812,12,-20.47,22.7,100.45,1.86
bilibino,66,RU,1574006812,99,68.06,166.44,-6.32,2.51
neuquen,70,AR,1574006812,23,-38.95,-68.06,73.4,9.17
cabinda,40,AO,1574006812,74,-5.56,12.19,86,9.17
pacifica,75,US,1574006813,93,37.61,-122.49,62.6,6.69
bandarbeyla,94,SO,1574006813,80,9.49,50.81,80.67,23.04
pachino,40,IT,1574006813,67,36.72,15.09,59,10.29
roma,40,IT,1574006521,87,41.89,12.48,59,4.7
karuzi,100,BI,1574006813,89,-3.1,30.16,69.19,1.32
mporokoso,100,ZM,1574006814,87,-9.37,30.12,69.42,4.45
wilmington,90,US,1574006701,59,39.75,-75.55,41,6.93
petropavlovsk-kamchatskiy,100,RU,1574006814,85,53.05,158.65,15.8,4.47
rock springs,1,US,1574006814,51,41.59,-109.2,32,24.16
rosetta,40,EG,1574006815,69,31.4,30.42,73.4,8.05
limon,64,US,1574006815,54,39.26,-103.69,39.99,5.01
olinda,100,AU,1574006815,81,-37.84,145.39,51.01,9.17
pasni,100,PK,1574006815,65,25.26,63.48,70.11,2.13
antofagasta,58,CL,1574006795,60,-23.65,-70.4,68,11.41
kattivakkam,40,IN,1574006816,88,13.22,80.32,78.8,3.36
jinchang,0,CN,1574006816,49,38.52,102.19,20.28,7.49
mount gambier,89,AU,1574006816,100,-37.83,140.78,42.8,3.36
requena,20,ES,1574006816,47,39.49,-1.1,60.01,18.34
coahuayana,69,MX,1574006816,75,18.62,-100.35,74.3,0.65
fayaoue,79,NC,1574006817,77,-20.65,166.53,73.98,10.98
susuman,80,RU,1574006817,88,62.78,148.15,-10.61,2.57
mao,20,DO,1574006817,69,19.55,-71.08,87.01,5.82
baruun-urt,100,MN,1574006817,80,46.68,113.28,-0.65,14.41
kidodi,87,TZ,1574006817,63,-7.6,37,83.32,7.67
elizabeth city,90,US,1574006818,100,36.3,-76.22,55.99,21.92
deputatskiy,90,RU,1574006818,95,69.3,139.9,-5.01,3.78
christchurch,100,NZ,1574006590,64,-43.53,172.64,55.99,6.93
la union,20,GT,1574006819,41,14.97,-89.29,75,1.99
collie,0,AU,1574006819,59,-33.36,116.15,60.01,5.53
ferzikovo,90,RU,1574006819,86,54.52,36.76,41,2.24
roebourne,0,AU,1574006820,51,-20.77,117.15,79.07,8.68
winthrop,90,US,1574006704,59,42.38,-70.98,39.2,12.75
ilhabela,5,BR,1574006820,66,-23.78,-45.36,71.92,8.59
haren,100,NL,1574006820,86,53.17,6.61,42.01,4.7
tiznit,0,MA,1574006679,27,29.7,-9.73,64.6,14.72
manoel urbano,26,BR,1574006821,41,-8.84,-69.26,94.14,1.7
marfino,90,RU,1574006821,93,56.07,37.56,45,6.71
paita,40,PE,1574006821,100,-5.09,-81.11,62.6,18.34
huarmey,0,PE,1574006656,49,-10.07,-78.15,76.44,7.52
delijan,100,IR,1574006822,88,33.99,50.69,32.11,7.47
sechura,100,PE,1574006822,90,-5.56,-80.82,65.8,9.71
rockhampton,90,AU,1574006822,73,-23.38,150.51,77,1.12
lardos,20,GR,1574006822,73,36.09,28.02,71.6,1.12
ratnagiri,0,IN,1574006823,74,16.98,73.3,76.91,2.39
tadine,86,NC,1574006823,83,-21.55,167.88,70.93,7.02
great yarmouth,40,GB,1574006823,93,52.61,1.73,46,1.12
arrifes,20,PT,1574006823,68,37.77,-25.7,66.2,12.75
stykkisholmur,0,IS,1574006824,87,65.08,-22.73,28.9,6.44
louis trichardt,40,ZA,1574006824,33,-23.04,29.91,84.6,5.28
san isidro,75,CR,1574006824,73,10.02,-84.06,77,9.17
lar,75,IR,1574006824,46,27.66,54.32,69.8,5.06
nishihara,75,JP,1574006824,58,35.74,139.53,59,10.29
fasa,90,IR,1574006824,54,28.94,53.65,59,6.93
stawell,99,AU,1574006825,88,-37.06,142.77,43.12,3.02
bouca,100,CF,1574006825,38,6.51,18.28,89.37,4.05
lorengau,100,PG,1574006825,79,-2.02,147.27,81.95,8.5
karratha,0,AU,1574006825,67,-20.74,116.85,81.36,13.33
weiser,90,US,1574006826,74,44.25,-116.97,39,3.36
hovd,75,NO,1574006826,74,63.83,10.7,42.01,5.82
smoky lake,100,CA,1574006826,73,54.11,-112.47,41,3
veraval,90,FR,1574006826,75,49.65,0.71,46.4,3.36
springbok,0,ZA,1574006827,20,-29.67,17.88,73.99,22.32
neulengbach,34,AT,1574006827,76,48.2,15.91,57.2,11.41
kaiu,75,EE,1574006827,93,59.01,25.06,44.01,9.17
pindiga,63,NG,1574006827,15,9.98,10.93,94.14,6.13
mbamba,0,NG,1574006828,15,9.98,13.1,95.11,7.49
gao,65,ML,1574006828,13,16.28,-0.04,96.13,11.74
sao joao do piaui,71,BR,1574006828,29,-8.36,-42.25,98.67,4.7
santa marta,20,CO,1574006575,70,11.24,-74.21,86,3.36
surt,45,LY,1574006829,61,31.21,16.59,66.31,21.09
tomisato,40,JP,1574006829,71,35.73,140.34,59,6.93
camopi,95,GF,1574006829,39,3.17,-52.33,94.37,4.97
nizhniy kuranakh,100,RU,1574006829,98,58.84,125.49,-12.5,4
campbeltown,20,GB,1574006829,75,55.43,-5.61,44.6,9.17
wismar,100,DE,1574006719,81,53.89,11.46,42.8,9.17
chernyshevskiy,44,RU,1574006830,94,63.01,112.47,-22.05,8.66
ibanda,75,TZ,1574006830,83,-2.8,32.47,75.2,11.41
kainantu,100,PG,1574006830,97,-6.29,145.87,59.74,0.36
robe,99,ET,1574006830,97,7.12,40.01,52.54,2.59
